Threshold: 50%
F-Score weight: 1.0
File	Total Words	Variants	Normalised	Non-variants	Total Tokens	Variant Tokens	Normalised Tokens	Non-variant Tokens
/henry/PPLDeanofYorktoCromwell_1535.txt	194	13	2	179	343	17	2	324
/henry/PPLFriarWardtoCromwell_1535.txt	221	10	5	206	437	10	5	422
/henry/PPLLetterBedyll_1535.txt	213	5	2	206	494	5	2	487
/henry/RoyalProclamation_HenryVIII_1520.txt	228	31	76	121	432	37	100	295
/henry/TheActOfSupremacy_HenryVIII_1534.txt	141	3	3	135	276	3	3	270
/henry/crown_henryviii_excerptdefense_1521.txt	238	2	1	235	505	2	1	502
/henry/crown_henryviii_speechtoparliament_1545.txt	514	18	5	491	1415	18	6	1391
/henry/crown_prefacedoctrine_henryviii_1543.txt	465	16	16	433	1278	18	18	1242
/henry/people_anneboleynfinalspeech_1536.txt	94	1	0	93	167	1	0	166
/henry/people_lastletterofthomasmore_1535.txt	164	6	4	154	413	6	5	402
/henry/people_pilgrammageofgrace_1536.txt	300	1	1	298	641	1	1	639
/james/DirectionConcerningPreachers_JamesI_1622.txt	303	15	0	288	706	17	0	689
/james/James'ProclamationForTheUseOfTheBookOfCommonPrayer_JamesI_1604.txt	439	9	4	426	1221	11	4	1206
/james/KingJamesBible_JamesI_1611.txt	14332	4770	1280	8282	912298	26912	10230	875156
/james/crown_jamesi_counterblastetotobacco_1604.txt	1895	638	645	612	5602	729	1181	3692
/james/people_conferencebwchristandsinner_1619.txt	308	6	52	250	777	9	64	704
/james/people_millenarypetition_1603.txt	439	14	5	420	1017	18	5	994
/james/people_psalmforchildren_1610.txt	318	21	63	234	630	22	89	519
/mary/Act_MaryI_1555.txt	414	43	204	167	1652	105	534	1013
/mary/ArundelltoEarl_1554.txt	192	16	5	171	382	25	5	352
/mary/DeclarationAtRychemonde_Mary_1553.txt	307	15	168	124	591	16	229	346
/mary/Declaration_MaryI_1553.txt	204	7	96	101	355	7	113	235
/mary/EdwardVICatechism_1553.txt	207	8	1	198	417	8	1	408
/mary/MaryTudortoPrivyCouncil_Mary_1554.txt	199	0	1	198	455	0	1	454
/mary/NoIdeaWhatThisIs_MaryI_1554.txt	245	15	116	114	471	15	151	305
/mary/Proclamation_MaryI_1553.txt	119	8	41	70	209	8	60	141
/mary/RepealofEdwardVI_MaryI_1553.txt	330	5	176	149	931	6	293	632
