File Name,Title,Year,Monarch,Type
edward/AnActOfUniformity_Edward_1549.txt,An Act of Uniformity,1549,Edward VI,Crown
mary/Declaration_MaryI_1553.txt,Declaration,1553,Mary I,Crown
mary/DeclarationAtRychemonde_Mary_1553.txt,Declaration At Rychemonde,1553,Mary I,Crown
elizabeth/crown_elizabethprivatecorrespondence.txt,Elizabeth's Private Correspondence,1558-1603,Elizabeth I,Crown
henry/crown_henryviii_excerptdefense_1521.txt,Excerpt of Defense of the Seven Sacraments,1521,Henry VIII,Crown
henry/crown_henryviii_speechtoparliament_1545.txt,Speech to Parliament,1545,Henry VIII,Crown
james/crown_jamesi_counterblastetotobacco_1604.txt,Counterblaste to Tobacco,1604,James I,Crown
henry/crown_prefacedoctrine_henryviii_1543.txt,Preface from Necesary Doctrine,1543,Henry VIII,Crown
charles/CommonBookOfPrayer_CharlesII_1662.txt,Common Book of Prayer,1662,Charles II,Church
james/KingJamesBible_JamesI_1611.txt,King James Bible,1611,James I,Church
henry/ChurchNewEnglishLitany_1544.txt,New English Litany,1544,Edward VI,Church
henry/ChurchCardinaltoHenryVIIIDivorce_1527.txt,Letter to Henry VIII to Church Cardinal,1527,Henry VIII,Church
charles/WestminsterConfession_1647.txt,Westminster Confession,1647,Charles I,Church
elizabeth/CommonBookOfPrayer_1559.txt,Common Book of Prayer,1559,Elizabeth I,Church
charles/church_etcaeteraoath_1640.txt,Etcaetera Oath,1640,Charles I,Church
elizabeth/ALearnedDiscourseonJustification_Hooker_1585.txt,A Learned Discourse on Justification,1585,Elizabeth I,People
elizabeth/ApologyoftheChurchofEngland_1562.txt,The Apology of the Church of England,1562,Elizabeth I,People
mary/ArundelltoEarl_1554.txt,Letter to Earl from Arundell,1554,Mary I,People
edward/DiaryofHenryMachyn_155053.txt,Diary of Henry Machyn,1550-53,Edward VI,People
edward/DukeofNorthumberland_1552.txt,Letter from the Duke of Northumberland,1552,Edward VI,People
henry/LutherAgainstHenryVIII_1522.txt,Letter from Luther against Henry VIII,1522,Henry VIII,People
henry/MercerWill_1522.txt,Will of a Mercer,1522,Henry VIII,People
edward/PPLApprenticetoCromwell_1552.txt,Letter to Cromwell from Apprentice,1552,Edward VI,People
henry/PPLConservativeOpinion_1535.txt,Letter stating Conservative Opinion,1535,Henry VIII,People
edward/PPLCranmertoPrivyCouncil_1552.txt,Letter to Privy Council from Cranmer,1552,Edward VI,People
henry/PPLDeanofYorktoCromwell_1535.txt,Letter to Cromwell from Dean of Yok,1535,Henry VIII,People
henry/PPLFriarWardtoCromwell_1535.txt,Letter to Cromwell from Friar Ward,1535,Henry VIII,People
henry/PPLLetterBedyll_1535.txt,Letter from Bedyll,1535,Henry VIII,People
elizabeth/SpeakertoLordBurghley_1572.txt,Letter to Lord Burghley from Speaker,1572,Elizabeth I,People
charles/people_alookingglass_1626.txt,A Looking Glass,1626,Charles I,People
charles/people_commentstopope_1625.txt,Comments to Pople,1625,Charles I,People
james/people_conferencebwchristandsinner_1619.txt,Conference Between Christ and Sinner,1619,James I,People
james/people_conferencebwchristandsinner_1619.txt,1658,Charles I (Oliver Cromwell),People
charles/people_justificationofthesynod_1647.txt,Justification of the Synod,1647,Charles I,People
elizabeth/people_lamentationfromrome_1570.txt,Lamentation from Rome,1570,Elizabeth I,People
elizabeth/people_lawsofecclesiasticalpolity_richardhooker_1594.txt,Laws of Ecclesiastical Polity,1594,Elizabeth I,People
charles/people_lordsprayer_1641.txt,Paraphrase of Lords Prayer,1641,Charles I,People
elizabeth/people_newyearsgift_1571.txt,New Years Gift,1571,Elizabeth I,People
elizabeth/people_newyearsgift_1571.txt,1422-1509,Mulitple Monarchs,People
elizabeth/people_prayerelizabeth_1577.txt,Prayer to Elizabeth,1577,Elizabeth I,People
james/people_psalmforchildren_1610.txt,Psalm for Sick Children,1610,James I,People
charles/people_sinnersredemption_1634.txt,A Sinners Redemption,1634,Charles I,People
charles/people_songofsyon_1642.txt,Song of Syon,1642,Charles I,People
elizabeth/people_thanksforchurchyard_1566.txt,Thanks for a Churchyard,1566,Elizabeth I,People
charles/people_warningtoswearers_1626.txt,A Warning to Swearers,1626,Charles I,People
henry/people_anneboleynfinalspeech_1536.txt,Anne Boleyn's Final Speech,1536,Henry VIII,People
henry/people_lastletterofthomasmore_1535.txt,Last Letter of Thomas more,1535,Henry VIII,People
james/people_millenarypetition_1603.txt,Millenary Petition,1603,James I,People
henry/people_pilgrammageofgrace_1536.txt,Pilgrammage of Grace,1536,Henry VIII,People
charles/people_rootandbranchpetition_1640.txt,Root and Branch Petition,1640,Charles I,People
charles/people_rootandbranchpetition_1640.txt,Root and Branch Petition,1640,Charles I,People
